date,call_volume,day_of_week,month,is_weekend
2024-04-23,514,1,4,0
2024-04-24,567,2,4,0
2024-04-25,546,3,4,0
2024-04-26,607,4,4,0
2024-04-27,404,5,4,1
2024-04-28,459,6,4,1
2024-04-29,645,0,4,0
2024-04-30,527,1,4,0
2024-05-01,569,2,5,0
2024-05-02,570,3,5,0
2024-05-03,644,4,5,0
2024-05-04,431,5,5,1
2024-05-05,413,6,5,1
2024-05-06,702,0,5,0
2024-05-07,519,1,5,0
2024-05-08,537,2,5,0
2024-05-09,527,3,5,0
2024-05-10,580,4,5,0
2024-05-11,350,5,5,1
2024-05-12,420,6,5,1
2024-05-13,640,0,5,0
2024-05-14,505,1,5,0
2024-05-15,521,2,5,0
2024-05-16,567,3,5,0
2024-05-17,839,4,5,0
2024-05-18,465,5,5,1
2024-05-19,496,6,5,1
2024-05-20,658,0,5,0
2024-05-21,518,1,5,0
2024-05-22,478,2,5,0
2024-05-23,561,3,5,0
2024-05-24,558,4,5,0
2024-05-25,376,5,5,1
2024-05-26,368,6,5,1
2024-05-27,634,0,5,0
2024-05-28,586,1,5,0
2024-05-29,553,2,5,0
2024-05-30,542,3,5,0
2024-05-31,545,4,5,0
2024-06-01,327,5,6,1
2024-06-02,368,6,6,1
2024-06-03,633,0,6,0
2024-06-04,606,1,6,0
2024-06-05,548,2,6,0
2024-06-06,577,3,6,0
2024-06-07,559,4,6,0
2024-06-08,339,5,6,1
2024-06-09,346,6,6,1
2024-06-10,604,0,6,0
2024-06-11,613,1,6,0
2024-06-12,509,2,6,0
2024-06-13,566,3,6,0
2024-06-14,540,4,6,0
2024-06-15,408,5,6,1
2024-06-16,388,6,6,1
2024-06-17,618,0,6,0
2024-06-18,532,1,6,0
2024-06-19,509,2,6,0
2024-06-20,547,3,6,0
2024-06-21,550,4,6,0
2024-06-22,327,5,6,1
2024-06-23,324,6,6,1
2024-06-24,624,0,6,0
2024-06-25,583,1,6,0
2024-06-26,532,2,6,0
2024-06-27,521,3,6,0
2024-06-28,570,4,6,0
2024-06-29,410,5,6,1
2024-06-30,371,6,6,1
2024-07-01,598,0,7,0
2024-07-02,560,1,7,0
2024-07-03,536,2,7,0
2024-07-04,574,3,7,0
2024-07-05,560,4,7,0
2024-07-06,315,5,7,1
2024-07-07,309,6,7,1
2024-07-08,664,0,7,0
2024-07-09,576,1,7,0
2024-07-10,509,2,7,0
2024-07-11,501,3,7,0
2024-07-12,599,4,7,0
2024-07-13,314,5,7,1
2024-07-14,320,6,7,1
2024-07-15,623,0,7,0
2024-07-16,496,1,7,0
2024-07-17,509,2,7,0
2024-07-18,503,3,7,0
2024-07-19,554,4,7,0
2024-07-20,396,5,7,1
2024-07-21,349,6,7,1
2024-07-22,618,0,7,0
2024-07-23,433,1,7,0
2024-07-24,502,2,7,0
2024-07-25,474,3,7,0
2024-07-26,495,4,7,0
2024-07-27,311,5,7,1
2024-07-28,329,6,7,1
2024-07-29,622,0,7,0
2024-07-30,453,1,7,0
2024-07-31,500,2,7,0
2024-08-01,481,3,8,0
2024-08-02,521,4,8,0
2024-08-03,372,5,8,1
2024-08-04,355,6,8,1
2024-08-05,632,0,8,0
2024-08-06,489,1,8,0
2024-08-07,470,2,8,0
2024-08-08,485,3,8,0
2024-08-09,536,4,8,0
2024-08-10,338,5,8,1
2024-08-11,293,6,8,1
2024-08-12,584,0,8,0
2024-08-13,498,1,8,0
2024-08-14,578,2,8,0
2024-08-15,555,3,8,0
2024-08-16,494,4,8,0
2024-08-17,318,5,8,1
2024-08-18,276,6,8,1
2024-08-19,770,0,8,0
2024-08-20,497,1,8,0
2024-08-21,528,2,8,0
2024-08-22,460,3,8,0
2024-08-23,497,4,8,0
2024-08-24,249,5,8,1
2024-08-25,318,6,8,1
2024-08-26,536,0,8,0
2024-08-27,465,1,8,0
2024-08-28,452,2,8,0
2024-08-29,479,3,8,0
2024-08-30,456,4,8,0
2024-08-31,270,5,8,1
2024-09-01,396,6,9,1
2024-09-02,526,0,9,0
2024-09-03,442,1,9,0
2024-09-04,545,2,9,0
2024-09-05,582,3,9,0
2024-09-06,474,4,9,0
2024-09-07,307,5,9,1
2024-09-08,331,6,9,1
2024-09-09,630,0,9,0
2024-09-10,444,1,9,0
2024-09-11,470,2,9,0
2024-09-12,506,3,9,0
2024-09-13,528,4,9,0
2024-09-14,305,5,9,1
2024-09-15,313,6,9,1
2024-09-16,520,0,9,0
2024-09-17,469,1,9,0
2024-09-18,468,2,9,0
2024-09-19,486,3,9,0
2024-09-20,493,4,9,0
2024-09-21,334,5,9,1
2024-09-22,353,6,9,1
2024-09-23,573,0,9,0
2024-09-24,490,1,9,0
2024-09-25,479,2,9,0
2024-09-26,477,3,9,0
2024-09-27,487,4,9,0
2024-09-28,329,5,9,1
2024-09-29,314,6,9,1
2024-09-30,641,0,9,0
2024-10-01,533,1,10,0
2024-10-02,492,2,10,0
2024-10-03,451,3,10,0
2024-10-04,474,4,10,0
2024-10-05,360,5,10,1
2024-10-06,328,6,10,1
2024-10-07,586,0,10,0
2024-10-08,418,1,10,0
2024-10-09,512,2,10,0
2024-10-10,496,3,10,0
2024-10-11,476,4,10,0
2024-10-12,304,5,10,1
2024-10-13,330,6,10,1
2024-10-14,573,0,10,0
2024-10-15,471,1,10,0
2024-10-16,478,2,10,0
2024-10-17,473,3,10,0
2024-10-18,523,4,10,0
2024-10-19,374,5,10,1
2024-10-20,233,6,10,1
2024-10-21,565,0,10,0
2024-10-22,490,1,10,0
2024-10-23,495,2,10,0
2024-10-24,472,3,10,0
2024-10-25,459,4,10,0
2024-10-26,337,5,10,1
2024-10-27,387,6,10,1
2024-10-28,523,0,10,0
2024-10-29,518,1,10,0
2024-10-30,477,2,10,0
2024-10-31,487,3,10,0
2024-11-01,488,4,11,0
2024-11-02,318,5,11,1
2024-11-03,376,6,11,1
2024-11-04,602,0,11,0
2024-11-05,553,1,11,0
2024-11-06,534,2,11,0
2024-11-07,509,3,11,0
2024-11-08,590,4,11,0
2024-11-09,350,5,11,1
2024-11-10,364,6,11,1
2024-11-11,576,0,11,0
2024-11-12,499,1,11,0
2024-11-13,473,2,11,0
2024-11-14,533,3,11,0
2024-11-15,493,4,11,0
2024-11-16,367,5,11,1
2024-11-17,334,6,11,1
2024-11-18,633,0,11,0
2024-11-19,529,1,11,0
2024-11-20,567,2,11,0
2024-11-21,530,3,11,0
2024-11-22,485,4,11,0
2024-11-23,343,5,11,1
2024-11-24,306,6,11,1
2024-11-25,579,0,11,0
2024-11-26,561,1,11,0
2024-11-27,532,2,11,0
2024-11-28,486,3,11,0
2024-11-29,511,4,11,0
2024-11-30,353,5,11,1
2024-12-01,310,6,12,1
2024-12-02,580,0,12,0
2024-12-03,526,1,12,0
2024-12-04,556,2,12,0
2024-12-05,538,3,12,0
2024-12-06,473,4,12,0
2024-12-07,369,5,12,1
2024-12-08,362,6,12,1
2024-12-09,625,0,12,0
2024-12-10,578,1,12,0
2024-12-11,451,2,12,0
2024-12-12,503,3,12,0
2024-12-13,581,4,12,0
2024-12-14,311,5,12,1
2024-12-15,419,6,12,1
2024-12-16,631,0,12,0
2024-12-17,559,1,12,0
2024-12-18,510,2,12,0
2024-12-19,560,3,12,0
2024-12-20,605,4,12,0
2024-12-21,381,5,12,1
2024-12-22,382,6,12,1
2024-12-23,635,0,12,0
2024-12-24,506,1,12,0
2024-12-25,532,2,12,0
2024-12-26,533,3,12,0
2024-12-27,588,4,12,0
2024-12-28,416,5,12,1
2024-12-29,345,6,12,1
2024-12-30,628,0,12,0
2024-12-31,596,1,12,0
2025-01-01,519,2,1,0
2025-01-02,517,3,1,0
2025-01-03,589,4,1,0
2025-01-04,418,5,1,1
2025-01-05,390,6,1,1
2025-01-06,687,0,1,0
2025-01-07,581,1,1,0
2025-01-08,582,2,1,0
2025-01-09,573,3,1,0
2025-01-10,671,4,1,0
2025-01-11,388,5,1,1
2025-01-12,326,6,1,1
2025-01-13,704,0,1,0
2025-01-14,543,1,1,0
2025-01-15,563,2,1,0
2025-01-16,607,3,1,0
2025-01-17,541,4,1,0
2025-01-18,359,5,1,1
2025-01-19,348,6,1,1
2025-01-20,627,0,1,0
2025-01-21,581,1,1,0
2025-01-22,585,2,1,0
2025-01-23,577,3,1,0
2025-01-24,554,4,1,0
2025-01-25,329,5,1,1
2025-01-26,413,6,1,1
2025-01-27,645,0,1,0
2025-01-28,589,1,1,0
2025-01-29,598,2,1,0
2025-01-30,579,3,1,0
2025-01-31,637,4,1,0
2025-02-01,424,5,2,1
2025-02-02,436,6,2,1
2025-02-03,644,0,2,0
2025-02-04,573,1,2,0
2025-02-05,587,2,2,0
2025-02-06,610,3,2,0
2025-02-07,603,4,2,0
2025-02-08,441,5,2,1
2025-02-09,414,6,2,1
2025-02-10,670,0,2,0
2025-02-11,614,1,2,0
2025-02-12,516,2,2,0
2025-02-13,541,3,2,0
2025-02-14,571,4,2,0
2025-02-15,347,5,2,1
2025-02-16,406,6,2,1
2025-02-17,706,0,2,0
2025-02-18,581,1,2,0
2025-02-19,598,2,2,0
2025-02-20,630,3,2,0
2025-02-21,674,4,2,0
2025-02-22,431,5,2,1
2025-02-23,482,6,2,1
2025-02-24,688,0,2,0
2025-02-25,566,1,2,0
2025-02-26,576,2,2,0
2025-02-27,545,3,2,0
2025-02-28,602,4,2,0
2025-03-01,426,5,3,1
2025-03-02,467,6,3,1
2025-03-03,750,0,3,0
2025-03-04,552,1,3,0
2025-03-05,614,2,3,0
2025-03-06,565,3,3,0
2025-03-07,653,4,3,0
2025-03-08,438,5,3,1
2025-03-09,379,6,3,1
2025-03-10,726,0,3,0
2025-03-11,582,1,3,0
2025-03-12,784,2,3,0
2025-03-13,567,3,3,0
2025-03-14,617,4,3,0
2025-03-15,460,5,3,1
2025-03-16,439,6,3,1
2025-03-17,708,0,3,0
2025-03-18,619,1,3,0
2025-03-19,653,2,3,0
2025-03-20,595,3,3,0
2025-03-21,591,4,3,0
2025-03-22,485,5,3,1
2025-03-23,436,6,3,1
2025-03-24,737,0,3,0
2025-03-25,622,1,3,0
2025-03-26,604,2,3,0
2025-03-27,621,3,3,0
2025-03-28,712,4,3,0
2025-03-29,522,5,3,1
2025-03-30,452,6,3,1
2025-03-31,705,0,3,0
2025-04-01,647,1,4,0
2025-04-02,580,2,4,0
2025-04-03,622,3,4,0
2025-04-04,644,4,4,0
2025-04-05,461,5,4,1
2025-04-06,421,6,4,1
2025-04-07,645,0,4,0
2025-04-08,538,1,4,0
2025-04-09,571,2,4,0
2025-04-10,594,3,4,0
2025-04-11,635,4,4,0
2025-04-12,518,5,4,1
2025-04-13,489,6,4,1
2025-04-14,666,0,4,0
2025-04-15,622,1,4,0
2025-04-16,596,2,4,0
2025-04-17,600,3,4,0
2025-04-18,651,4,4,0
2025-04-19,471,5,4,1
2025-04-20,437,6,4,1
2025-04-21,736,0,4,0
2025-04-22,569,1,4,0
2025-04-23,609,2,4,0
2025-04-24,699,3,4,0
2025-04-25,651,4,4,0
2025-04-26,498,5,4,1
2025-04-27,451,6,4,1
2025-04-28,718,0,4,0
2025-04-29,605,1,4,0
2025-04-30,601,2,4,0
2025-05-01,579,3,5,0
2025-05-02,656,4,5,0
2025-05-03,416,5,5,1
2025-05-04,468,6,5,1
2025-05-05,733,0,5,0
2025-05-06,617,1,5,0
2025-05-07,594,2,5,0
2025-05-08,619,3,5,0
2025-05-09,627,4,5,0
2025-05-10,475,5,5,1
2025-05-11,378,6,5,1
2025-05-12,680,0,5,0
2025-05-13,531,1,5,0
2025-05-14,548,2,5,0
2025-05-15,648,3,5,0
2025-05-16,666,4,5,0
2025-05-17,414,5,5,1
2025-05-18,386,6,5,1
2025-05-19,584,0,5,0
2025-05-20,578,1,5,0
2025-05-21,681,2,5,0
2025-05-22,611,3,5,0
2025-05-23,611,4,5,0
2025-05-24,451,5,5,1
2025-05-25,380,6,5,1
2025-05-26,673,0,5,0
2025-05-27,760,1,5,0
2025-05-28,589,2,5,0
2025-05-29,619,3,5,0
2025-05-30,638,4,5,0
2025-05-31,454,5,5,1
2025-06-01,406,6,6,1
2025-06-02,710,0,6,0
2025-06-03,645,1,6,0
2025-06-04,554,2,6,0
2025-06-05,556,3,6,0
2025-06-06,668,4,6,0
2025-06-07,419,5,6,1
2025-06-08,474,6,6,1
2025-06-09,658,0,6,0
2025-06-10,634,1,6,0
2025-06-11,587,2,6,0
2025-06-12,591,3,6,0
2025-06-13,670,4,6,0
2025-06-14,407,5,6,1
2025-06-15,386,6,6,1
2025-06-16,653,0,6,0
2025-06-17,593,1,6,0
2025-06-18,522,2,6,0
2025-06-19,598,3,6,0
2025-06-20,591,4,6,0
2025-06-21,455,5,6,1
2025-06-22,330,6,6,1
2025-06-23,635,0,6,0
2025-06-24,513,1,6,0
2025-06-25,542,2,6,0
2025-06-26,579,3,6,0
2025-06-27,598,4,6,0
2025-06-28,400,5,6,1
2025-06-29,402,6,6,1
2025-06-30,664,0,6,0
2025-07-01,531,1,7,0
2025-07-02,590,2,7,0
2025-07-03,588,3,7,0
2025-07-04,612,4,7,0
2025-07-05,422,5,7,1
2025-07-06,412,6,7,1
2025-07-07,722,0,7,0
2025-07-08,557,1,7,0
2025-07-09,549,2,7,0
2025-07-10,532,3,7,0
2025-07-11,557,4,7,0
2025-07-12,354,5,7,1
2025-07-13,365,6,7,1
2025-07-14,643,0,7,0
2025-07-15,566,1,7,0
2025-07-16,556,2,7,0
2025-07-17,526,3,7,0
2025-07-18,619,4,7,0
2025-07-19,417,5,7,1
2025-07-20,385,6,7,1
2025-07-21,617,0,7,0
2025-07-22,568,1,7,0
2025-07-23,555,2,7,0
2025-07-24,497,3,7,0
2025-07-25,579,4,7,0
2025-07-26,395,5,7,1
2025-07-27,354,6,7,1
2025-07-28,641,0,7,0
2025-07-29,493,1,7,0
2025-07-30,590,2,7,0
2025-07-31,586,3,7,0
2025-08-01,568,4,8,0
2025-08-02,394,5,8,1
2025-08-03,296,6,8,1
2025-08-04,589,0,8,0
2025-08-05,529,1,8,0
2025-08-06,501,2,8,0
2025-08-07,563,3,8,0
2025-08-08,642,4,8,0
2025-08-09,335,5,8,1
2025-08-10,347,6,8,1
2025-08-11,633,0,8,0
2025-08-12,591,1,8,0
2025-08-13,491,2,8,0
2025-08-14,542,3,8,0
2025-08-15,632,4,8,0
2025-08-16,315,5,8,1
2025-08-17,327,6,8,1
2025-08-18,606,0,8,0
2025-08-19,513,1,8,0
2025-08-20,559,2,8,0
2025-08-21,538,3,8,0
2025-08-22,502,4,8,0
2025-08-23,387,5,8,1
2025-08-24,348,6,8,1
2025-08-25,662,0,8,0
2025-08-26,505,1,8,0
2025-08-27,505,2,8,0
2025-08-28,546,3,8,0
2025-08-29,588,4,8,0
2025-08-30,382,5,8,1
2025-08-31,306,6,8,1
2025-09-01,634,0,9,0
2025-09-02,489,1,9,0
2025-09-03,533,2,9,0
2025-09-04,474,3,9,0
2025-09-05,574,4,9,0
2025-09-06,335,5,9,1
2025-09-07,318,6,9,1
2025-09-08,638,0,9,0
2025-09-09,531,1,9,0
2025-09-10,501,2,9,0
2025-09-11,573,3,9,0
2025-09-12,542,4,9,0
2025-09-13,619,5,9,1
2025-09-14,371,6,9,1
2025-09-15,590,0,9,0
2025-09-16,538,1,9,0
2025-09-17,503,2,9,0
2025-09-18,507,3,9,0
2025-09-19,604,4,9,0
2025-09-20,325,5,9,1
2025-09-21,277,6,9,1
2025-09-22,668,0,9,0
2025-09-23,610,1,9,0
2025-09-24,507,2,9,0
2025-09-25,453,3,9,0
2025-09-26,545,4,9,0
2025-09-27,351,5,9,1
2025-09-28,355,6,9,1
2025-09-29,572,0,9,0
2025-09-30,542,1,9,0
2025-10-01,540,2,10,0
2025-10-02,470,3,10,0
2025-10-03,581,4,10,0
2025-10-04,434,5,10,1
2025-10-05,368,6,10,1
2025-10-06,601,0,10,0
2025-10-07,518,1,10,0
2025-10-08,544,2,10,0
2025-10-09,463,3,10,0
2025-10-10,564,4,10,0
2025-10-11,350,5,10,1
2025-10-12,429,6,10,1
2025-10-13,608,0,10,0
2025-10-14,583,1,10,0
2025-10-15,486,2,10,0
2025-10-16,546,3,10,0
2025-10-17,572,4,10,0
2025-10-18,336,5,10,1
2025-10-19,373,6,10,1
2025-10-20,659,0,10,0
2025-10-21,516,1,10,0
2025-10-22,469,2,10,0
2025-10-23,528,3,10,0
2025-10-24,532,4,10,0
2025-10-25,357,5,10,1
2025-10-26,367,6,10,1
2025-10-27,561,0,10,0
2025-10-28,474,1,10,0
2025-10-29,548,2,10,0
2025-10-30,634,3,10,0
2025-10-31,478,4,10,0
2025-11-01,401,5,11,1
2025-11-02,383,6,11,1
2025-11-03,599,0,11,0
2025-11-04,489,1,11,0
2025-11-05,565,2,11,0
2025-11-06,549,3,11,0
2025-11-07,655,4,11,0
2025-11-08,392,5,11,1
2025-11-09,392,6,11,1
2025-11-10,623,0,11,0
2025-11-11,568,1,11,0
2025-11-12,563,2,11,0
2025-11-13,585,3,11,0
2025-11-14,559,4,11,0
2025-11-15,368,5,11,1
2025-11-16,367,6,11,1
2025-11-17,662,0,11,0
2025-11-18,598,1,11,0
2025-11-19,530,2,11,0
2025-11-20,532,3,11,0
2025-11-21,594,4,11,0
2025-11-22,380,5,11,1
2025-11-23,423,6,11,1
2025-11-24,562,0,11,0
2025-11-25,522,1,11,0
2025-11-26,525,2,11,0
2025-11-27,472,3,11,0
2025-11-28,555,4,11,0
2025-11-29,363,5,11,1
2025-11-30,389,6,11,1
2025-12-01,686,0,12,0
2025-12-02,549,1,12,0
2025-12-03,523,2,12,0
2025-12-04,558,3,12,0
2025-12-05,632,4,12,0
2025-12-06,367,5,12,1
2025-12-07,371,6,12,1
2025-12-08,673,0,12,0
2025-12-09,557,1,12,0
2025-12-10,588,2,12,0
2025-12-11,566,3,12,0
2025-12-12,627,4,12,0
2025-12-13,372,5,12,1
2025-12-14,409,6,12,1
2025-12-15,653,0,12,0
2025-12-16,529,1,12,0
2025-12-17,518,2,12,0
2025-12-18,598,3,12,0
2025-12-19,598,4,12,0
2025-12-20,380,5,12,1
2025-12-21,414,6,12,1
2025-12-22,708,0,12,0
2025-12-23,499,1,12,0
2025-12-24,528,2,12,0
2025-12-25,549,3,12,0
2025-12-26,668,4,12,0
2025-12-27,433,5,12,1
2025-12-28,451,6,12,1
2025-12-29,636,0,12,0
2025-12-30,547,1,12,0
